gis_join,time
G5300470,434.7730209827423
G3100270,454.81057143211365
G3900610,417.13639736175537
G3101110,355.08073115348816
G2600550,441.27268075942993
G2900210,439.972936630249
G2701410,423.767174243927
G5401010,380.634797334671
G3101830,431.78115367889404
G4201170,377.8907449245453
G3100310,390.7474389076233
G0800870,429.42540216445923
G2601370,414.15880393981934
G3200310,470.1772029399872
G3901190,307.5478630065918
G3100650,354.32878518104553
G2901470,392.58177614212036
G3100150,366.49652194976807
G3000170,433.4656357765198
G4201290,377.25638151168823
G2000690,420.22714710235596
G0800470,429.9877059459686
G3400110,397.8832483291626
G2901830,398.4881184101105
G4600890,444.6693811416626
G2902150,435.58104944229126
G2600650,433.90077900886536
G5100610,357.63398241996765
G4900110,448.4837815761566
G3701710,425.4878947734833
G0800170,428.13931012153625
G2701110,366.1128499507904
G2700730,419.0473208427429
G2901610,446.0182511806488
G5500910,364.60235595703125
G5300230,438.0471749305725
G1901970,422.6373345851898
G5300690,332.9098813533783
G2101630,428.4011960029602
G0800110,436.60188579559326
G2700330,353.1812002658844
G0801030,462.13420033454895
G4701730,441.45538544654846
G5600030,385.6687912940979
G3100330,408.7855954170227
G3000410,374.75460934638977
G2600730,372.86850666999817
G2000650,442.55406165122986
G1600130,393.72361183166504
G3600310,446.6657314300537
G2000710,425.0009870529175
G2500170,425.7059736251831
G3000470,342.6716949939728
G3600330,443.1964509487152
G1700330,403.46666502952576
G2100290,408.7103097438812
G3900530,368.76647210121155
G5400910,413.9305999279022
G3101370,435.83310413360596
G2001650,411.2586097717285
G2601230,440.2460653781891
G5100910,386.5665888786316
G3600250,404.7964687347412
G5500590,404.3585350513458
G2300190,431.9570813179016
G4201270,401.16062688827515
G5101250,471.1336398124695
G4600830,431.0398004055023
G2600290,438.85010409355164
G4200630,313.7874994277954
G2000230,446.52630496025085
G1900210,431.05566692352295
G3901490,369.2715713977814
G2601350,430.6543114185333
G5100490,439.85914373397827
G1700830,323.406884431839
G1801550,428.3180253505707
G5500570,385.16937732696533
G3101530,382.1466808319092
G1701590,440.4722578525543
G2900810,444.40345668792725
G4001390,434.76515316963196
G1701170,474.1435577869415
G1701070,432.2091188430786
G5101770,440.9102635383606
G1801290,427.44912600517273
G3800590,427.9981827735901
G3800270,471.43847918510437
G3901690,472.84710001945496
G1801330,413.3461539745331
G1700650,453.6281678676605
G4600910,440.0619912147522
G4600470,348.6118462085724
G3100750,381.18489599227905
G2601090,299.6742739677429
G5100030,429.5797755718231
G2701570,434.94887495040894
G1900290,375.6396453380585
G3600090,408.7415590286255
G2700290,440.1342628002167
G4700350,374.766624212265
G2900550,441.38672065734863
G2001390,314.65555906295776
G1702010,382.26139783859253
G3901390,376.0150337219238
G4600070,370.2337715625763
G5500030,371.9384343624115
G5400530,428.54432439804077
G4400030,448.1613416671753
G2001850,436.16032338142395
G4600790,424.7962350845337
G1900830,474.1458225250244
G3701730,434.8980724811554
G4701710,302.1246500015259
G1800510,366.7320475578308
G3400370,384.9208559989929
G5600290,390.47490429878235
G1901570,325.1554992198944
G3500430,431.49370193481445
G1600250,430.5392072200775
G1901790,370.1900761127472
G4400070,323.5517191886902
G1600590,431.2365860939026
G3600350,369.75429129600525
G2000170,448.6292612552643
G3900930,411.0834095478058
G2400010,374.1316623687744
G4400090,381.2478756904602
G3000990,407.6144149303436
G5400150,376.74038457870483
G2100270,437.5391101837158
G1700430,194.1327521800995
G2001050,397.01504397392273
G1600090,435.87388253211975
G5600130,433.23339915275574
G2100450,443.4336986541748
G1701770,383.8547992706299
G1800330,435.7039461135864
G3601230,470.93261909484863
G5500790,410.2613251209259
G3000710,363.929594039917
G2100370,376.80824089050293
G4100230,435.140837430954
G1801390,404.5662214756012
G3101690,445.8226068019867
G5500290,437.9174144268036
G1700510,453.2076187133789
G1701510,406.28915095329285
G1701450,434.1587121486664
G0800910,310.015474319458
G2001710,434.0264012813568
G2600810,371.99273657798767
G2101350,387.52720069885254
G5400250,426.1046664714813
G2102270,340.8851351737976
G3000290,368.28760290145874
G3600850,389.0193681716919
G1900110,442.395206451416
G3101510,429.77955651283264
G4201130,383.3301782608032
G2405100,355.67605543136597
G5300710,468.43255138397217
G4100390,470.9989380836487
G0800250,382.4917366504669
G3200210,432.0129668712616
G2300030,378.0357608795166
G3800350,470.800683259964
G2600170,403.18441438674927
G2300050,403.850439786911
G4600150,434.87232971191406
G5300250,437.2885823249817
G4600670,431.55974817276
G3900630,420.57305908203125
G1600650,438.31799149513245
G3800010,430.5558247566223
G5300530,407.3725106716156
G2601190,429.7854778766632
G3600810,446.70172119140625
G3101630,436.16851019859314
G2700810,447.74699783325195
G5100710,296.1928939819336
G2001170,438.2899079322815
G3901090,383.40514874458313
G1901230,470.3039140701294
G1900630,427.20376539230347
G2101090,376.63284945487976
G4701630,382.0897614955902
G4700130,383.9503173828125
G4600510,441.0446343421936
G5501250,369.5081470012665
G2100130,378.71027517318726
G4701330,400.7564060688019
G1701410,442.7981719970703
G2701390,433.65744805336
G3900070,313.5490128993988
G3100390,434.97505617141724
G1800110,380.08203077316284
G2901590,431.3808913230896
G3800690,433.9995799064636
G2600570,428.94529914855957
G2700350,371.9325222969055
G5100310,429.3351802825928
G3700210,435.915287733078
G3300170,380.22258853912354
G5300010,433.63539576530457
G3900670,291.32876229286194
G1700050,441.5552680492401
G1700870,411.35252690315247
G3101190,449.6013660430908
G4100270,447.40192127227783
G5100270,375.8513195514679
G3100470,426.7048056125641
G1801410,435.8464529514313
G1800530,377.94467878341675
G3901370,410.5676648616791
G5107700,442.852822303772
G3500590,427.49785137176514
G3900230,441.04114031791687
G2100610,392.2571511268616
G0800710,470.9677846431732
G2901950,434.988028049469
G2900450,436.4010648727417
G3601090,404.4199764728546
G1800270,405.79152035713196
G5100150,434.87323117256165
G5100230,407.02188897132874
G3601030,368.5545802116394
G5100050,447.4687647819519
G1901430,329.6366105079651
G1701870,405.32375836372375
G5100210,418.0192918777466
G2900090,431.8524272441864
G1801210,420.96767354011536
G3900650,362.8678767681122
G5400650,411.25920581817627
G3400310,406.28877353668213
G3000070,438.1179382801056
G3001050,424.6715965270996
G4600970,356.63282799720764
G3500060,473.54841113090515
G3300130,309.90223002433777
G1900010,366.7181034088135
G2902270,432.8233149051666
G1700170,390.7051737308502
G3100610,474.77220273017883
G3100990,450.91672229766846
G1700470,391.1249237060547
G3300150,327.0532338619232
G0801230,384.5981488227844
G1100010,322.17929673194885
G3900550,433.8048617839813
G1800130,438.17628169059753
G1800610,437.66833448410034
G2900650,414.95873522758484
G1901650,373.63060212135315
G1801270,386.48826599121094
G5101790,435.68128418922424
G5501170,433.54928970336914
G2001510,329.26376152038574
G3500070,447.82552456855774
G2701250,361.33172130584717
G3000590,386.6070804595947
G2701690,409.8414661884308
G2001070,353.92320346832275
G3800050,437.0140960216522
G5106100,446.2985579967499
G5106600,409.3005998134613
G5400270,432.905531167984
G5500970,381.67834997177124
G3900310,439.3681366443634
G1800570,431.85048937797546
G2900430,329.31948614120483
G1901370,369.01398944854736
G1701830,369.6923975944519
G4600490,280.56795167922974
G4100410,430.94528317451477
G2600850,376.7385587692261
G3205100,433.03705167770386
G4900190,436.81368017196655
G2100210,297.3048014640808
G5300390,431.86153411865234
G5400950,433.7299280166626
G3800250,437.45591711997986
G4600850,425.02128195762634
G4600170,426.4967658519745
G3800930,432.396103143692
G4600230,439.8184218406677
G1700790,442.45853781700134
G4600750,372.8919758796692
G1701910,436.71986508369446
G3600390,371.7103924751282
G0800670,387.93351435661316
G1000030,416.9885220527649
G3500450,428.91991114616394
G5100770,413.09885478019714
G3600170,367.06884360313416
G1600030,435.07379269599915
G4804210,431.79395818710327
G1600110,459.44296169281006
G5400930,379.69789147377014
G5000090,434.19244027137756
G3000230,372.5621316432953
G1900670,377.4732508659363
G2101310,408.6724455356598
G1901290,355.44708037376404
G1801010,382.59897804260254
G5500510,438.99555921554565
G4601030,363.2734000682831
G2601210,428.16308069229126
G0800990,435.06912779808044
G1901530,444.38509011268616
G5500270,429.08547949790955
G1800690,365.9567496776581
G2600370,376.21922755241394
G5400030,407.2799575328827
G4601090,432.6140899658203
G1701110,443.7302932739258
G5500430,446.4504635334015
G2001570,401.8115289211273
G4600050,446.9279086589813
G4200330,369.7063603401184
G2700030,381.63087463378906
G3000510,365.7628684043884
G1700270,377.077942609787
G4803690,437.1915304660797
G1600770,434.5382843017578
G4600410,405.1180958747864
G2901170,475.04428124427795
G0800140,412.1515197753906
G3601150,369.65315318107605
G2600130,393.70745515823364
G4200290,437.94353795051575
G3900330,407.7671320438385
G5501330,397.40496802330017
G2000110,439.9646894931793
G4100590,433.25743412971497
G3200270,433.8498685359955
G2900530,428.06553649902344
G3101430,401.5469377040863
G1900730,445.605996131897
G4900430,413.5794486999512
G3101610,390.1941454410553
G3100190,437.63870787620544
G1900250,435.67018866539
G1701490,426.7261230945587
G3900690,369.19364643096924
G4900310,360.57456278800964
G3101390,401.89248156547546
G2100790,376.53629875183105
G5300030,429.76120162010193
G5600050,470.32734966278076
G4200590,436.7972617149353
G4100570,445.03859758377075
G3100550,379.6109457015991
G5400850,406.0620880126953
G5000010,381.7185640335083
G4900030,443.4064838886261
G3601070,378.5912311077118
G5300350,353.78708600997925
G0800630,436.0592796802521
G3100110,441.2738184928894
G0800590,435.91823053359985
G2600250,428.5149097442627
G2901890,439.13427925109863
G4600810,312.2075252532959
G2601430,348.1152009963989
G4802050,450.5415210723877
G3300070,407.9355161190033
G3900470,403.3720211982727
G2300270,418.49987292289734
G1901010,428.97032356262207
G5500780,429.24252462387085
G1801690,410.79891872406006
G3900950,437.38080167770386
G2500110,368.0423331260681
G3900270,407.6804749965668
G2100050,375.53172302246094
G3100490,382.4126636981964
G2901410,435.57127714157104
G1702030,366.7159125804901
G2700510,467.5310173034668
G3900570,433.1675853729248
G0600510,425.0375065803528
G2100990,393.3454101085663
G3400190,387.84923553466797
G3800710,450.71355056762695
G3700090,423.5568218231201
G0800770,320.0559113025665
G3701890,472.38214588165283
G3101730,436.59469771385193
G1901470,439.82846093177795
G5106000,302.80620861053467
G2900310,410.3876299858093
G2101690,438.0348753929138
G2600750,438.25279712677
G1801630,412.05080461502075
G1600550,427.1055507659912
G3901290,417.01898431777954
G1800950,299.87324261665344
G1701610,430.1752791404724
G5400310,363.379257440567
G3000350,356.9249436855316
G1900230,439.61234283447266
G3100530,438.2481515407562
G5501290,437.68942761421204
G1800390,386.2133276462555
G3600830,324.00782799720764
G1700610,432.69469928741455
G5600450,387.6246716976166
G4100190,427.2940514087677
G5600230,449.63087272644043
G2701430,424.2880709171295
G4201310,438.0255353450775
G3100210,433.5972332954407
G1901810,310.3321089744568
G1801670,327.104238986969
G2600670,429.82059383392334
G4900070,439.1644215583801
G3800450,365.89706087112427
G4200430,424.86728835105896
G2500030,365.0332541465759
G3000670,426.9707098007202
G2700670,359.416339635849
G1700310,409.13601517677307
G4200570,339.6665894985199
G2700170,411.71284103393555
G3900910,435.6761918067932
G1701430,391.6436502933502
G2900290,410.05400490760803
G3000530,428.4725248813629
G4700250,416.934538602829
G4200710,389.1157274246216
G3600690,353.3582720756531
G3101270,437.6759045124054
G2601110,438.7996418476105
G2001890,378.55624055862427
G1600470,430.51473093032837
G1701350,448.95551657676697
G1600010,425.79158639907837
G2601010,430.611083984375
G2400210,358.8616189956665
G5300610,427.6196217536926
G2600870,317.9996716976166
G2000430,430.13964223861694
G2100810,441.45519733428955
G1901030,294.4167549610138
G2901390,442.07915902137756
G5500130,441.7183256149292
G1600070,437.43515944480896
G5500370,437.00142669677734
G1701730,431.880362033844
G2601270,438.54381275177
G5501210,379.52063632011414
G2000390,350.8846182823181
G2601590,373.1171998977661
G2900170,392.20759677886963
G1801310,367.89619874954224
G3901610,378.1993417739868
G5400450,380.3717999458313
G4200210,341.3972125053406
G3600950,373.8624610900879
G5101390,432.23470091819763
G2600350,446.537406206131
G4600310,405.0003595352173
G1901210,438.57986783981323
G1901410,439.4846119880676
G3900710,384.33557391166687
G1701950,372.04907965660095
G1901450,425.53776025772095
G2300290,341.17821049690247
G1700250,438.78161120414734
G3600890,438.182493686676
G4100030,444.01748156547546
G2101410,435.91291069984436
G3800210,438.42059302330017
G3701130,370.06427931785583
G0800750,445.0908980369568
G4201150,369.4340605735779
G4000250,423.5412404537201
G3200050,450.18620777130127
G1900770,436.9700005054474
G3800730,444.9741141796112
G1801450,350.7389271259308
G5400570,429.40852880477905
G5500630,376.23240327835083
G5101970,381.4566271305084
G1800190,373.4096086025238
G4200090,383.48070883750916
G3000770,430.4146161079407
G0801190,441.9490282535553
G2700570,368.9431974887848
G5101050,390.9577362537384
G4200050,316.62037086486816
G3900850,441.92836236953735
G5101470,432.77312564849854
G0600630,441.85968375205994
G2900830,343.62704610824585
G3900770,437.9445974826813
G4600770,440.75841546058655
G2900850,438.7310812473297
G5300490,427.05991435050964
G3000630,374.92775082588196
G2101830,390.1841208934784
G5500150,435.3814535140991
G4900210,426.8747591972351
G2900390,445.94219613075256
G2600970,447.61031675338745
G4200830,409.50119400024414
G2101750,344.4168984889984
G2000310,430.71004986763
G2900510,432.02438831329346
G4200850,371.9994122982025
G2500130,371.12048053741455
G1600630,432.66584062576294
G2102250,375.6086657047272
G2900050,434.3944237232208
G4701790,402.15120029449463
G2900750,472.07418298721313
G2901790,435.84130334854126
G2900110,444.4720821380615
G2902190,449.0606598854065
G4100650,447.00107192993164
G4200310,364.9218246936798
G2700950,357.79360342025757
G5300370,439.6487295627594
G3101030,445.02624225616455
G3901450,374.2533218860626
G1700710,412.1712613105774
G3900750,435.5392110347748
G0800690,431.52882146835327
G5000070,438.1360356807709
G5300270,433.1753144264221
G1900070,431.1094071865082
G3901510,347.5381600856781
G2700270,468.89272236824036
G1800930,389.93735790252686
G5000110,373.7127134799957
G3000570,426.75987005233765
G4200110,396.0853183269501
G2701150,437.6073544025421
G3101070,426.0211193561554
G3900510,372.86390113830566
G4700570,370.8987240791321
G2000670,445.21976613998413
G3800090,441.7289755344391
G4200030,267.5577504634857
G3901630,379.5303678512573
G1901090,435.01901149749756
G2901750,381.08096051216125
G1700550,407.2677731513977
G1800710,377.8304271697998
G2100950,340.0212688446045
G1801470,371.35360741615295
G2101170,401.37731432914734
G1701190,393.1518943309784
G3101210,433.3816194534302
G3400170,446.30107498168945
G3900990,386.07441544532776
G3800390,396.0072910785675
G2001930,401.0090420246124
G2601170,430.3781192302704
G2400110,432.40582156181335
G4100470,435.4695038795471
G5501150,406.9943120479584
G5600250,445.99643540382385
G1701390,409.45263028144836
G4600710,378.6045594215393
G3800030,469.0855243206024
G2100710,386.15179657936096
G1701310,349.9110417366028
G3800070,378.68795800209045
G1800430,390.85169291496277
G5100110,329.035117149353
G3800610,434.23688316345215
G5600370,379.1215922832489
G2101890,374.6028583049774
G1801730,404.28293228149414
G2101610,348.233647108078
G0800230,433.2585220336914
G3700110,370.3078455924988
G2102310,353.1050453186035
G5500650,377.1996133327484
G1901710,438.26866602897644
G2700230,469.8512637615204
G5100290,436.7193031311035
G4600730,441.3789761066437
G3600550,375.5138602256775
G3101590,445.45779633522034
G3101570,423.4716250896454
G2600790,431.09868907928467
G5101570,407.3737154006958
G2001870,373.61750960350037
G5600190,384.7910032272339
G3900790,378.8431911468506
G0800290,429.5516860485077
G5400510,379.87941884994507
G4200870,376.0748598575592
G1901050,417.54057025909424
G2400150,433.38311433792114
G2101850,371.3632152080536
G2000370,440.4851174354553
G3800570,395.89195680618286
G3100670,437.29393100738525
G2100150,475.56391501426697
G0801210,429.8936903476715
G5101650,434.8186218738556
G5600270,438.4561493396759
G2701350,411.26603984832764
G1900410,403.9543764591217
G3100630,432.0530614852905
G2700110,436.4908998012543
G2700930,427.81791067123413
G3400070,382.01550817489624
G3000010,433.83886456489563
G5101450,286.038072347641
G3101770,382.2531909942627
G4100550,437.9906759262085
G0800090,468.1379189491272
G4900570,436.0862982273102
G4900350,429.77880787849426
G1701550,376.024507522583
G3000690,467.29560708999634
G1901330,357.0782630443573
G2701290,431.66064405441284
G3001070,395.5211145877838
G5600110,371.95007371902466
G0800390,439.7631449699402
G1901390,421.64976239204407
G1600170,367.41973638534546
G1600810,424.212806224823
G3900430,349.4392035007477
G5300290,395.0715537071228
G5300450,434.7063481807709
G2700770,425.8003206253052
G3600990,348.5151147842407
G0800410,431.24412202835083
G2900630,300.4753761291504
G3400410,436.3710250854492
G2000750,430.99387979507446
G2600070,435.18886709213257
G4601150,438.19325041770935
G5400370,434.94391798973083
G0800430,331.4973769187927
G3101230,382.2463140487671
G1801650,368.209849357605
G2102230,372.58983516693115
G1800010,303.07718539237976
G2700610,447.6881971359253
G5500990,354.9674029350281
G5100450,434.5807673931122
G2000050,434.54968309402466
G3900150,409.9480290412903
G4601050,470.6568672657013
G4601010,429.83831095695496
G2300070,380.48345279693604
G5401050,377.1588406562805
G2102030,379.34465527534485
G3800810,429.1129238605499
G4200510,380.3762831687927
G2900410,432.36376309394836
G5100890,362.1691257953644
G2600330,357.65919733047485
G2000890,441.65579771995544
G4200770,442.3754668235779
G1801370,424.1917095184326
G1901950,429.1898469924927
G3901110,303.14463114738464
G5300050,425.0165436267853
G2101470,374.2214605808258
G2901270,316.5248930454254
G4701290,306.17412662506104
G3800430,433.6719334125519
G5105300,441.7796518802643
G3000550,440.66045665740967
G4600330,403.92693281173706
G2400290,367.59830951690674
G1700770,427.16724848747253
G1901890,434.647686958313
G5300090,423.51684284210205
G1600510,444.42065238952637
G2701510,432.1441171169281
G2000810,367.7015061378479
G2900910,440.4989106655121
G1901150,382.805703163147
G2100890,373.73261427879333
G3600650,351.48013973236084
G1600190,443.3409299850464
G5101070,376.7011544704437
G1901910,313.23779296875
G3601110,316.60040044784546
G5300750,433.90332889556885
G5100790,433.54655146598816
G2001110,378.5953209400177
G3100230,436.1571807861328
G2601550,430.35470485687256
G2700190,442.7821328639984
G3800190,450.03396821022034
G5106400,450.717120885849
G3900030,436.291925907135
G5600150,384.9515345096588
G1800370,370.92919278144836
G5501390,429.2938652038574
G4700910,396.82866191864014
G2000450,448.97776770591736
G5100370,433.0077791213989
G5400730,383.78232169151306
G4201330,425.4222433567047
G1901190,428.9511499404907
G4201050,374.2318744659424
G5000230,433.5595715045929
G2901850,436.7570300102234
G3100090,378.4964723587036
G2001290,469.85493087768555
G3000090,379.22743821144104
G3901050,433.36708545684814
G2600690,436.10144329071045
G3600930,401.23026275634766
G2701730,434.5809636116028
G5501070,436.8129937648773
G5300570,408.27099442481995
G2001790,440.3963088989258
G1900970,447.83600664138794
G3300050,372.0258927345276
G3901750,434.27993083000183
G2400270,384.6675531864166
G2700550,378.9238703250885
G3900090,375.6336417198181
G3800170,468.7655260562897
G3900370,382.4164626598358
G4701370,367.2892062664032
G5400630,429.75103211402893
G3101050,432.83120107650757
G4601110,427.58478903770447
G1700530,368.1282465457916
G2901860,450.9677450656891
G2901070,429.00177812576294
G3800910,327.1518714427948
G1901670,432.4159379005432
G4700670,414.90087127685547
G3100250,383.7257721424103
G1801190,426.03270864486694
G3400390,444.8866677284241
G2601390,431.00204730033875
G2900490,438.4295437335968
G2600450,404.71678352355957
G5500070,428.12948417663574
G1700630,379.9060218334198
G3000870,384.919394493103
G3001010,378.6298608779907
G5501010,429.9319920539856
G2901210,434.5240066051483
G1900570,449.93628191947937
G3500570,429.14073848724365
G2000410,460.1112895011902
G1800450,445.36775159835815
G4600990,439.5301856994629
G3601170,367.4663212299347
G1600410,433.51885533332825
G4201210,315.7302477359772
G5105400,345.2515609264374
G2701190,358.49196338653564
G2002050,444.9642000198364
G5500190,448.14206314086914
G3900050,418.3273949623108
G1901850,441.46443819999695
G3600710,371.96785068511963
G5500310,351.9256331920624
G2001690,435.952796459198
G2600890,436.1244115829468
G2601650,379.508663892746
G1900790,440.00125432014465
G2001750,381.6596655845642
G4900050,444.380651473999
G1900490,474.0506982803345
G3800630,434.5903649330139
G1901270,363.0193054676056
G5000030,363.8207230567932
G2901370,431.2032334804535
G5000150,437.11914443969727
G1901770,448.4596891403198
G3101090,431.06291103363037
G1701990,438.9263472557068
G3100770,423.10679173469543
G2901350,417.86319065093994
G1701790,377.90270495414734
G1701930,431.8233416080475
G2101670,376.69258213043213
G4900330,334.7124629020691
G2002090,444.7186632156372
G4100330,448.5221288204193
G1701290,326.861115694046
G1801230,385.2744212150574
G1901610,433.43902230262756
G2101930,392.0906777381897
G3100370,447.6870610713959
G3901670,427.14674282073975
G1701630,436.6919147968292
G2601310,446.01214694976807
G2500230,347.451372385025
G2001010,435.07881021499634
G5105100,441.39854741096497
G1600730,439.38946080207825
G3000650,428.378023147583
G3700430,411.02923369407654
G5600330,405.9635999202728
G4700290,450.07391357421875
G2701030,430.0536856651306
G3800490,362.1213092803955
G2101230,333.2238607406616
G2701070,329.04345321655273
G3900970,408.68943524360657
G1600330,433.3847451210022
G4600370,445.0346555709839
G3101130,385.74666142463684
G5000130,439.2861235141754
G1700970,359.8309893608093
G1900990,437.5957713127136
G3600790,362.3038659095764
G0800190,426.695538520813
G2102050,386.44913268089294
G1701250,314.51869010925293
G2101110,326.36374497413635
G0800930,441.5137095451355
G2902250,330.87748551368713
G4200950,421.15394854545593
G2905100,366.03548097610474
G5600090,375.82924699783325
G1000010,433.3977220058441
G3000950,413.8056745529175
G1801250,377.40078377723694
G5300110,319.9424033164978
G2601050,469.16587352752686
G2100870,373.1387085914612
G2001610,355.8245906829834
G3901650,439.0315794944763
G3000370,469.88035440444946
G1701970,333.5521242618561
G3400090,334.2583553791046
G1900150,435.51475715637207
G5107900,368.25581979751587
G2100110,379.2640016078949
G2101510,377.01545691490173
G3900590,373.85544872283936
G3100430,440.98671102523804
G5600070,468.71090841293335
G1701670,411.28527879714966
G5600210,435.35592699050903
G2601630,447.6590459346771
G1900910,448.3715672492981
G2400130,377.635445356369
G4600390,364.1856710910797
G1900350,441.9566915035248
G5500490,373.7316827774048
G3100790,449.2305097579956
G2100910,404.72094774246216
G0900110,400.6994869709015
G2500090,434.77101707458496
G2600390,423.27063488960266
G0600490,324.1848554611206
G4600190,389.5504915714264
G5501370,333.55765175819397
G3900110,344.70465421676636
G3600570,433.8409013748169
G3100910,351.3634445667267
G0900010,344.85477924346924
G5100350,438.3431580066681
G3701930,446.50531697273254
G3700870,459.45942187309265
G5100650,442.8287744522095
G5101530,424.44249296188354
G5400190,377.2759132385254
G3000130,428.5005102157593
G4600590,384.856894493103
G4900410,440.1483256816864
G0800070,427.46213555336
G2701370,370.5377290248871
G3001110,381.8196647167206
G2900970,375.23306703567505
G0801250,382.9896819591522
G5600350,424.8807008266449
G2400230,361.2924373149872
G2701710,445.91178727149963
G4701850,388.1760165691376
G2900130,436.902512550354
G2901510,442.5584878921509
G1700230,420.51550102233887
G3800970,435.73182129859924
G4600210,436.74009013175964
G4100510,360.1747500896454
G4601250,379.3191063404083
G0800610,432.79691433906555
G2500150,416.4351222515106
G4100350,436.6524200439453
G4801110,432.1331458091736
G5106300,453.4527564048767
G4900130,434.45251655578613
G0800050,436.4384002685547
G2902290,435.15276885032654
G5400990,376.1395809650421
G3600370,382.68010425567627
G4100310,430.58119535446167
G0600350,434.27404594421387
G2600470,438.0230255126953
G4201230,403.64822340011597
G5500950,438.1600089073181
G2001210,429.1301443576813
G1800670,380.48229575157166
G5100190,433.1100571155548
G3000970,390.3329679965973
G2600310,430.20546770095825
G4700730,419.5746154785156
G2601030,383.1617522239685
G4200190,390.2222363948822
G1600570,426.2507083415985
G4100090,432.32094073295593
G3901150,388.0278263092041
G3600490,436.64643239974976
G3801010,440.24554777145386
G3600450,436.6777272224426
G4201090,378.44021344184875
G2101190,382.46957564353943
G1600450,378.9993669986725
G3101150,444.2068860530853
G2000610,452.20869874954224
G5400550,426.27350974082947
G5500670,422.61094760894775
G1901830,349.5025939941406
G1800770,376.37895345687866
G5401070,375.5899353027344
G4200610,379.0204904079437
G2901730,436.1621947288513
G4200810,383.19149589538574
G2000130,433.17990159988403
G1801790,376.28661251068115
G3800290,436.21032309532166
